doi,access_right,title,description
10.5281/zenodo.4355615,open,Diffraction data for CCDC 1998115 and 1998116.,"<p>Diffraction data for CCDC 1998115 and 1998116 (5-methyl-6-(3-methyl-1,4-dithian-2-yl)-2,3-dihydro-1,4-dithiine enantiomers</p>"
10.5281/zenodo.5509268,open,Synthetic bus validation of Rennes public transportation network focus on Beaulieu campus,<p>Synthetic data based on the STAR/Keolis open data version GTFS_2021.1.0.3_20210830_20211017 for regular weeks and GTFS_2020.10.1_20210705_20210829 for holidays. This dataset contains the generation of bus validations for 3500 individuals during 14 weeks with an average of 15 travels per week. It also contains GPS information of the bus stops associated to the validation.</p>
10.5281/zenodo.321686,open,Synthetic Smart Card Data for the Analysis of Temporal and Spatial Patterns,"<p>This is a synthetic smart card data set that can be used to test pattern detection methods for the extraction of temporal and spatial data. The data set is tab seperated and based on a stylized travel pattern description for city of Utrecht in The Netherlands and is developed and used in Chapter 6 of the PhD Thesis of Paul Bouman. </p>

<p>This dataset contains the following files:</p>

<ul>
	<li>journeys.tsv : the actual data set of synthetic smart card data</li>
	<li>utrecht.xml : the activity pattern definition that was used to randomly generate the synthethic smart card data</li>
	<li>validate.ref : a file derived from the activity pattern definition that can be used for validation purposes. It specifies which activity types occur at each location in the smart card data set.</li>
</ul>"
10.5281/zenodo.1436557,open,"Synthetic benchmarking data from ""Comprehensive Benchmarking of SNV Callers for Highly Admixed Tumor Data""",<p>Synthetic benchmarking data simulating heterogeneous and admixed tumor data with implanted SNVs and indels at different admixture levels (0% to 90%) for targeted sequencing (exome and targeted gene panel).</p>
10.5281/zenodo.1171077,open,Synthetic Dataset for Outlier Detection,"<p>This synthetically generated dataset can be used to evaluate outlier detection algorithms. It has 10 attributes and 1000 observations, of which 100 are&nbsp;labeled as outliers. Two-dimensional combinations of attributes form differently shaped clusters.</p>

<ul>
	<li>Attribute 0 &amp; Attribute&nbsp;1: Two circular clusters</li>
	<li>Attribute&nbsp;2 &amp; Attribute&nbsp;3: Two banana shaped clusters</li>
	<li>Attribute&nbsp;4 &amp; Attribute&nbsp;5: Three point clouds</li>
	<li>Attribute&nbsp;6 &amp; Attribute&nbsp;7: Two point clouds with variances</li>
	<li>Attribute&nbsp;8 &amp; Attribute&nbsp;9: Three anisotropic shaped clusters.&nbsp;</li>
</ul>

<p>The &quot;outlier&quot; column states whether an observation is an outlier or not. Additionally, the .zip file contains 10 stratified randomized train test splits (70% train, 30% test).</p>"
10.5281/zenodo.5497621,open,Trusted World of Corona (TWOC) - WHO COVID-19 Case Report Form (CRF)  Synthetic Data - FAIR,"<p>The synthetic dataset that models COVID-19 real world observations from WHO COVID-19 RAPID Version CRFs of hospitalized patients for the hypothesis under study, originally created by the TWOC project.</p>"
10.5281/zenodo.4021651,open,Mobil İlaçlama ve Sulama Robotu Pozitif ve Negatif Örnekler,<p>Mobil İla&ccedil;lama ve Sulama Robotu and Positive and Negative Samples for&nbsp;&nbsp;Viola Jones Algorithm Training</p>
10.5281/zenodo.1252276,open,Transfer curve models for synthetic  AHL-receiver devices,"<p>The input-output function of the AHL-receiver devices was determined by fitting cell fluorescence data with the following&nbsp;four-parameter logistical curve model:</p>

<p>GFP = b + ( a-b ) / 1 +10^( ( log(EC50)-log([AHL]) )*h)</p>

<p>where <em>a</em> is the maximal GFP output, <em>b</em> is the basal GFP output, <em>[AHL]</em> is the AHL inducer concentration, <em>GFP</em> is the green fluorescence response of the device for that inducer concentration, <em>EC50</em> is the inducer concentration that results in half maximal activation of the device, and <em>h</em> is proportional to the value of the steepest slope along the curve (Hill coefficient) that indicates the responsiveness of the device to the input.</p>"
10.5061/dryad.t9j0j,open,"Data from: DualPhos: a versatile, chemoselective reagent for two-carbon aldehyde to latent (E)-alkenal homologation and application in the total synthesis of phomolide G",Advances on the use of the 2-pinacolacetal-tripropylphosphonium salt DualPhos as a general reagent for the two-carbon aldehyde to alkenal homologation and a chemoselective iron (III) chloride mediated deprotection are described. The strategy allows isolation of the latent alkenal intermediates or direct hydrolysis to (E)-alkenals. The robust chemical stability of the latent alkenals is demonstrated in a total synthesis of the macrolactone phomolide G.
10.5281/zenodo.5120970,open,Pre-Processed Cancer Multi-Omic Data from TCGA and Synthetic Data,"<p><strong>ABSTRACT&nbsp;</strong></p>

<p>It contains the data of four omic profiles (CNV, mRNA, miRNA, and protein) obtained for BRCA, LGG, and LUAD obtained from the TCGA project.&nbsp;</p>

<p>In addition, we provide synthetic data for a mixture of isotropic distributions.</p>

<p><strong>Instructions:&nbsp;</strong></p>

<p>Cancer data are identified by cancer type (LGG: low-grade glioma, BRCA: breast cancer, and LUAD: lung cancer). The data are scaled by using the minima and maxima of each column so that the values are between 0 and 1. In these files, the columns are the features and the rows correspond to the patients.</p>

<p>The summary data contains only the numerical values. The columns are the features and the rows are the observations.</p>

<p><strong>Inspiration:</strong></p>

<p>This dataset uploaded to U-BRITE for &quot;AI against CANCER DATA SCIENCE HACKATHON&quot;</p>

<p>https://cancer.ubrite.org/hackathon-2021/</p>

<p><strong>Acknowledgements</strong></p>

<p>Diego Salazar, June 20, 2021, &quot;Pre-processed Cancer multi-omic data from TCGA and synthetic data&quot;, IEEE Dataport, doi: https://dx.doi.org/10.21227/pjb8-d090.</p>

<p>https://ieee-dataport.org/documents/pre-processed-cancer-multi-omic-data-tcga-and-synthetic-data</p>

<p><strong>U-BRITE last update date:</strong>&nbsp;07/21/2021</p>"
10.5061/dryad.fm67n,open,Data from: IM-TORNADO: a tool for comparison of 16S reads from paired-end libraries,"Motivation: 16S rDNA hypervariable tag sequencing has become the de facto method for accessing microbial diversity. Illumina paired-end sequencing, which produces two separate reads for each DNA fragment, has become the platform of choice for this application. However, when the two reads do not overlap, existing computational pipelines analyze data from read separately and underutilize the information contained in the paired-end reads. Results: We created a workflow known as Illinois Mayo Taxon Organization from RNA Dataset Operations (IM-TORNADO) for processing non-overlapping reads while retaining maximal information content. Using synthetic mock datasets, we show that the use of both reads produced answers with greater correlation to those from full length 16S rDNA when looking at taxonomy, phylogeny, and beta-diversity. Availability and Implementation: IM-TORNADO is freely available at http://sourceforge.net/projects/imtornado and produces BIOM format output for cross compatibility with other pipelines such as QIIME, mothur, and phyloseq."
10.5061/dryad.h373j,open,Data from: Recognizing false positives: synthetic oligonucleotide controls for environmental DNA surveillance,"Environmental DNA (eDNA) is increasingly used for surveillance and detection of species of interest in aquatic and soil samples.  A significant risk associated with eDNA methods is potential false positive results due to laboratory contamination.  To minimize and quantify this risk, we designed and validated a set of synthetic oligonucleotides for use as species-specific positive PCR controls for several high-profile aquatic invasive species.  The controls consist of species-specific sequences for the species of interest, with the addition of a synthetic insert containing recognition sites for several restriction enzymes.  Following PCR, the presence of the synthetic insert can be detected using gel electrophoresis, restriction enzyme digests, or DNA sequencing. For quantitative PCR (qPCR), false positives in environmental samples can also be detected using a fluorescent probe designed to detect the synthetic insert.  The generation of synthetic controls is a cost-effective, reproducible method that increases the power and reliability of eDNA testing by eliminating misinterpretation of false positive results from laboratory contamination."
