doi,access_right,title
10.5281/zenodo.4355615,open,Diffraction data for CCDC 1998115 and 1998116.
10.5281/zenodo.321686,open,Synthetic Smart Card Data for the Analysis of Temporal and Spatial Patterns
10.5281/zenodo.5509268,open,Synthetic bus validation of Rennes public transportation network focus on Beaulieu campus
10.5281/zenodo.1171077,open,Synthetic Dataset for Outlier Detection
10.5281/zenodo.1436557,open,"Synthetic benchmarking data from ""Comprehensive Benchmarking of SNV Callers for Highly Admixed Tumor Data"""
10.34777/7wdq-ph75,restricted,DIH: Depth Images with Humans
10.5281/zenodo.5497621,open,Trusted World of Corona (TWOC) - WHO COVID-19 Case Report Form (CRF)  Synthetic Data - FAIR
10.5281/zenodo.4021651,open,Mobil İlaçlama ve Sulama Robotu Pozitif ve Negatif Örnekler
10.5281/zenodo.1252276,open,Transfer curve models for synthetic  AHL-receiver devices
10.5061/dryad.t9j0j,open,"Data from: DualPhos: a versatile, chemoselective reagent for two-carbon aldehyde to latent (E)-alkenal homologation and application in the total synthesis of phomolide G"
10.5281/zenodo.5120970,open,Pre-Processed Cancer Multi-Omic Data from TCGA and Synthetic Data
10.5061/dryad.fm67n,open,Data from: IM-TORNADO: a tool for comparison of 16S reads from paired-end libraries
10.5061/dryad.h373j,open,Data from: Recognizing false positives: synthetic oligonucleotide controls for environmental DNA surveillance
10.5281/zenodo.3737112,open,Synthetic metagenome
10.5281/zenodo.1005745,open,Synthetic Networks
10.5281/zenodo.6237158,open,VGGSound-Synthetic
10.5281/zenodo.5533864,open,Primary data
10.5281/zenodo.5673924,open,Synthetic time series data generation for edge analytics
10.5061/dryad.6djh9w0wv,open,Electrochemical and thermodynamic properties of 1-phenyl-3-(phenylamino)propan -1-one with Na2WO4 on N80 Steel
10.5061/dryad.4qrfj6q6d,open,Data from: Cell death and survival due to cytotoxic exposure modeled as a two-state Ising system
10.5281/zenodo.4659983,open,Synthetic SNDS database
10.5061/dryad.784vv04,open,"Data from: Synchronous fluorescence as a green and selective tool for simultaneous determination of bambuterol and its main degradation product, terbutaline"
10.5281/zenodo.846639,open,Supplement_Stochastic_Reconstruction_and_Interpolation_of_Precipitation_Fields_Using_Combinded_Information_CML_and_RG
10.5281/zenodo.2527910,open,ncrncornell/ced2ar-synlbd-codebook: DDI Codebook for the Synthetic LBD
10.5281/zenodo.5221560,open,"Underlying data for ""A deep mutational scanning platform to characterize the fitness landscape  of anti-CRISPR proteins"""
10.6078/D15Q4K,open,Synthetic Log-Conductivity
10.5281/zenodo.574072,open,Malawi Synthetic Ecosystem
10.5281/zenodo.573984,open,Connecticut Synthetic Ecosystem
10.5281/zenodo.574086,open,Senegal Synthetic Ecosystem
10.5281/zenodo.574036,open,Brazil Synthetic Ecosystem
10.5281/zenodo.573991,open,Illinois Synthetic Ecosystem
10.5281/zenodo.574055,open,Haiti Synthetic Ecosystem
10.5281/zenodo.573995,open,Kentucky Synthetic Ecosystem
10.5281/zenodo.574013,open,Ohio Synthetic Ecosystem
10.5281/zenodo.574031,open,Austria Synthetic Ecosystem
10.5281/zenodo.574075,open,Nicaragua Synthetic Ecosystem
10.5281/zenodo.574001,open,Minnesota Synthetic Ecosystem
10.5281/zenodo.574068,open,Mexico Synthetic Ecosystem
10.5281/zenodo.574056,open,Hungary Synthetic Ecosystem
10.5281/zenodo.574039,open,Chile Synthetic Ecosystem
10.5281/zenodo.574048,open,Egypt Synthetic Ecosystem
10.5281/zenodo.573992,open,Indiana Synthetic Ecosystem
10.5281/zenodo.3509828,open,Synthetic Speech Dataset
10.5281/zenodo.5507373,open,Synthetic LBW Dataset
10.5281/zenodo.574029,open,Argentina Synthetic Ecosystem
10.5281/zenodo.574063,open,Jordan Synthetic Ecosystem
10.5281/zenodo.574052,open,France Synthetic Ecosystem
10.5281/zenodo.574073,open,Malaysia Synthetic Ecosystem
10.5281/zenodo.574081,open,Portugal Synthetic Ecosystem
10.5281/zenodo.574064,open,Kenya Synthetic Ecosystem
10.5281/zenodo.574089,open,Slovenia Synthetic Ecosystem
10.5281/zenodo.574057,open,Indonesia Synthetic Ecosystem
10.5281/zenodo.573983,open,Colorado Synthetic Ecosystem
10.5281/zenodo.574053,open,Ghana Synthetic Ecosystem
10.5281/zenodo.574003,open,Missouri Synthetic Ecosystem
10.5281/zenodo.574076,open,Netherlands Synthetic Ecosystem
10.5281/zenodo.574100,open,Zambia Synthetic Ecosystem
10.5281/zenodo.574051,open,Fiji Synthetic Ecosystem
10.5281/zenodo.574098,open,Vietnam Synthetic Ecosystem
10.5281/zenodo.574004,open,Montana Synthetic Ecosystem
10.5281/zenodo.574047,open,Ecuador Synthetic Ecosystem
10.5281/zenodo.574065,open,Cambodia Synthetic Ecosystem
10.5281/zenodo.574030,open,Armenia Synthetic Ecosystem
10.5281/zenodo.574028,open,Wyoming Synthetic Ecosystem
10.5281/zenodo.574080,open,Philippines Synthetic Ecosystem
10.5281/zenodo.574066,open,Liberia Synthetic Ecosystem
10.5281/zenodo.574061,open,Italy Synthetic Ecosystem
10.5281/zenodo.574095,open,Uruguay Synthetic Ecosystem
10.5281/zenodo.574058,open,India Synthetic Ecosystem
10.5281/zenodo.2561998,closed,Synthetic ECG dataset
10.5281/zenodo.574071,open,Mozambique Synthetic Ecosystem
10.5281/zenodo.573993,open,Iowa Synthetic Ecosystem
10.5281/zenodo.573979,open,Alaska Synthetic Ecosystem
10.5281/zenodo.574038,open,Switzerland Synthetic Ecosystem
10.5281/zenodo.574042,open,Colombia Synthetic Ecosystem
10.5281/zenodo.574037,open,Canada Synthetic Ecosystem
10.5281/zenodo.574044,open,Cuba Synthetic Ecosystem
10.5281/zenodo.574033,open,Bangladesh Synthetic Ecosystem
10.5281/zenodo.574022,open,Utah Synthetic Ecosystem
10.5281/zenodo.574062,open,Jamaica Synthetic Ecosystem
10.5281/zenodo.573981,open,Arkansas Synthetic Ecosystem
10.5281/zenodo.574078,open,Panama Synthetic Ecosystem
10.5281/zenodo.574079,open,Peru Synthetic Ecosystem
10.5281/zenodo.4566804,open,Synthetic Control Dataset
10.5281/zenodo.574015,open,Oregon Synthetic Ecosystem
10.5281/zenodo.573987,open,Florida Synthetic Ecosystem
10.5281/zenodo.574082,open,Paraguay Synthetic Ecosystem
10.5281/zenodo.574059,open,Iraq Synthetic Ecosystem
10.5281/zenodo.574084,open,Rwanda Synthetic Ecosystem
10.5281/zenodo.574035,open,Bolivia Synthetic Ecosystem
10.5281/zenodo.574040,open,China Synthetic Ecosystem
10.5281/zenodo.574014,open,Oklahoma Synthetic Ecosystem
10.5281/zenodo.574060,open,Israel Synthetic Ecosystem
10.5281/zenodo.573980,open,Arizona Synthetic Ecosystem
10.5281/zenodo.574027,open,Wisconsin Synthetic Ecosystem
10.5281/zenodo.573999,open,Massachusetts Synthetic Ecosystem
